# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
881.1000 A32 2000000 1 424.1000 Street_3 Street_10 292 N Street_3->Street_10
957.1000 A17 2000000 2 719.1000 Avenue_13 Street_4 288 N Avenue_13->Street_1->Street_4
1430.3000 A12 2000000 2 1262.3000 Street_1 Street_3 278 N Street_1->Street_4->Street_3
2143.9000 A65 2000000 1 1223.9000 Avenue_11 Street_8 279 N Avenue_11->Street_8
2227.7000 A81 2000000 2 1068.7000 Street_4 Street_7 282 N Street_4->Street_3->Street_7
2229.2000 A64 2000000 1 1324.2000 Street_3 Street_7 277 N Street_3->Street_7
2251.7000 A34 2000000 2 1756.7000 Avenue_19 Street_6 270 N Avenue_19->Avenue_14->Street_6
2255.1000 A6 2000000 1 2174.1000 Street_8 Street_7 263 N Street_8->Street_7
2284.3000 A49 2000000 2 1586.3000 Avenue_20 Avenue_14 273 N Avenue_20->Street_3->Avenue_14
2285.8000 A104 2000000 2 792.8000 Avenue_19 Street_3 286 N Avenue_19->Avenue_14->Street_3
2493.3000 A3 2000000 2 2453.3000 Avenue_13 Avenue_18 259 N Avenue_13->Street_4->Avenue_18
2697.9000 A71 2000000 2 1679.9000 Avenue_20 Street_5 272 N Avenue_20->Street_3->Street_5
2699.4000 A4 2000000 1 2643.4000 Street_5 Street_3 255 N Street_5->Street_3
2724.3000 A14 2000000 1 2525.3000 Street_10 Avenue_14 257 N Street_10->Avenue_14
2725.8000 A75 2000000 1 1650.8000 Street_10 Avenue_14 272 N Street_10->Avenue_14
3360.4000 A85 2000000 1 2137.4000 Street_9 Street_8 264 N Street_9->Street_8
3697.9000 A156 2000000 1 1471.9000 Street_4 Avenue_17 275 N Street_4->Avenue_17
3699.4000 A33 2000000 1 3223.4000 Avenue_17 Street_4 246 N Avenue_17->Street_4
3700.9000 A36 2000000 1 3181.9000 Avenue_17 Street_4 246 N Avenue_17->Street_4
3856.9000 A13 2000000 4 3675.9000 Street_1 Street_7 238 N Street_1->Avenue_13->Street_4->Avenue_18->Street_7
3858.4000 A61 2000000 1 2995.4000 Avenue_18 Street_7 250 N Avenue_18->Street_7
4016.1000 A269 2000000 1 167.1000 Street_5 Street_3 297 N Street_5->Street_3
4017.6000 A204 2000000 1 1098.6000 Street_3 Street_5 281 N Street_3->Street_5
4232.9000 A16 2000000 2 4013.9000 Street_7 Street_3 233 N Street_7->Avenue_11->Street_3
4234.4000 A281 2000000 1 221.4000 Avenue_11 Street_3 296 N Avenue_11->Street_3
4241.3000 A177 2000000 1 1717.3000 Avenue_17 Street_3 271 N Avenue_17->Street_3
4263.4000 A171 2000000 1 1821.4000 Avenue_17 Avenue_11 269 N Avenue_17->Avenue_11
4264.9000 A99 2000000 1 2847.9000 Avenue_17 Avenue_11 252 N Avenue_17->Avenue_11
4266.4000 A147 2000000 1 2177.4000 Avenue_17 Avenue_11 263 N Avenue_17->Avenue_11
4506.1000 A108 2000000 1 2956.1000 Street_3 Street_4 250 N Street_3->Street_4
4507.6000 A151 2000000 2 2364.6000 Avenue_14 Street_4 260 N Avenue_14->Street_3->Street_4
4509.1000 A245 2000000 1 1002.1000 Street_3 Street_4 283 N Street_3->Street_4
4740.3000 A203 2000000 2 1836.3000 Avenue_14 Street_6 269 N Avenue_14->Avenue_12->Street_6
4741.8000 A173 2000000 1 2274.8000 Street_6 Avenue_12 262 N Street_6->Avenue_12
5124.6000 A323 2000000 1 509.6000 Street_4 Street_3 291 N Street_4->Street_3
5160.8000 A271 2000000 1 1285.8000 Street_9 Street_5 278 N Street_9->Street_5
5360.2000 A45 2000000 1 4720.2000 Street_1 Street_7 221 N Street_1->Street_7
5361.7000 A133 2000000 1 3461.7000 Street_1 Street_7 242 N Street_1->Street_7
5715.1000 A236 2000000 2 2327.1000 Avenue_12 Street_5 261 N Avenue_12->Street_6->Street_5
5716.6000 A66 2000000 1 4777.6000 Street_5 Street_6 220 N Street_5->Street_6
5788.1000 A243 2000000 1 2316.1000 Street_10 Avenue_20 261 N Street_10->Avenue_20
5800.1000 A375 2000000 1 427.1000 Avenue_12 Street_5 292 N Avenue_12->Street_5
5879.8000 A319 2000000 1 1320.8000 Avenue_14 Street_3 277 N Avenue_14->Street_3
5881.3000 A62 2000000 4 5007.3000 Avenue_13 Avenue_14 216 N Avenue_13->Street_1->Street_4->Street_3->Avenue_14
6782.4000 A172 2000000 1 4329.4000 Avenue_20 Street_2 227 N Avenue_20->Street_2
6783.9000 A181 2000000 1 4205.9000 Avenue_20 Street_2 229 N Avenue_20->Street_2
6785.4000 A8 2000000 2 6668.4000 Avenue_16 Avenue_20 188 N Avenue_16->Street_2->Avenue_20
6879.6000 A231 2000000 1 3566.6000 Avenue_11 Street_7 240 N Avenue_11->Street_7
6881.1000 A437 2000000 1 630.1000 Avenue_11 Street_7 289 N Avenue_11->Street_7
6882.6000 A244 2000000 1 3393.6000 Avenue_11 Street_7 243 N Avenue_11->Street_7
6884.1000 A29 2000000 2 6475.1000 Avenue_18 Avenue_11 192 N Avenue_18->Street_7->Avenue_11
6914.5000 A27 2000000 3 6531.5000 Street_7 Street_2 191 N Street_7->Avenue_11->Street_3->Street_2
6972.8000 A421 2000000 1 961.8000 Avenue_17 Avenue_14 283 N Avenue_17->Avenue_14
6974.3000 A121 2000000 2 5242.3000 Avenue_19 Avenue_17 212 N Avenue_19->Avenue_14->Avenue_17
6975.8000 A418 2000000 1 1005.8000 Avenue_14 Avenue_17 283 N Avenue_14->Avenue_17
7010.7000 A208 2000000 1 4040.7000 Avenue_20 Street_3 232 N Avenue_20->Street_3
7012.2000 A293 2000000 1 2823.2000 Avenue_20 Street_3 252 N Avenue_20->Street_3
7013.7000 A258 2000000 1 3318.7000 Avenue_20 Street_3 244 N Avenue_20->Street_3
7025.8000 A74 2000000 1 5963.8000 Avenue_19 Street_1 200 N Avenue_19->Street_1
7027.3000 A313 2000000 1 2558.3000 Avenue_19 Street_1 257 N Avenue_19->Street_1
7048.6000 A490 2000000 1 4.6000 Avenue_16 Street_1 299 N Avenue_16->Street_1
7085.1000 A194 2000000 1 4297.1000 Street_4 Street_7 228 N Street_4->Street_7
7407.4000 A325 2000000 1 2760.4000 Street_9 Avenue_12 253 N Street_9->Avenue_12
