# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
217.4000 A8 31 1 100.4000 Street_10 Street_4 298 N Street_10->Street_4
239.2000 A4 31 2 183.2000 Street_4 Street_3 296 N Street_4->Street_6->Street_3
275.0000 A13 31 2 94.0000 Street_1 Street_9 298 N Street_1->Street_4->Street_9
323.7000 A24 31 1 3.7000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
334.1000 A25 31 1 0.1000 Avenue_16 Street_4 299 N Avenue_16->Street_4
400.7000 A1 31 1 390.7000 Avenue_11 Avenue_15 293 N Avenue_11->Avenue_15
435.6000 A17 31 1 201.6000 Street_3 Street_2 296 N Street_3->Street_2
436.8000 A12 31 1 268.8000 Avenue_19 Avenue_13 295 N Avenue_19->Avenue_13
440.9000 A5 31 2 369.9000 Avenue_13 Street_5 293 N Avenue_13->Street_7->Street_5
441.0000 A6 31 2 360.0000 Street_1 Street_5 293 N Street_1->Street_7->Street_5
451.3000 A26 31 1 100.3000 Street_8 Street_7 298 N Street_8->Street_7
480.7000 A9 31 2 352.7000 Avenue_16 Street_1 294 N Avenue_16->Street_4->Street_1
549.5000 A22 31 1 255.5000 Street_4 Street_2 295 N Street_4->Street_2
551.1000 A39 31 1 0.1000 Street_3 Street_4 299 N Street_3->Street_4
591.4000 A34 31 1 115.4000 Street_1 Street_7 298 N Street_1->Street_7
602.7000 A36 31 2 101.7000 Avenue_12 Street_1 298 N Avenue_12->Street_6->Street_1
611.7000 A33 31 2 154.7000 Street_5 Avenue_12 297 N Street_5->Street_9->Avenue_12
612.2000 A29 31 2 218.2000 Avenue_12 Street_10 296 N Avenue_12->Street_9->Street_10
624.7000 A15 31 2 415.7000 Avenue_17 Avenue_12 293 N Avenue_17->Avenue_13->Avenue_12
675.3000 A35 31 1 189.3000 Avenue_14 Avenue_19 296 N Avenue_14->Avenue_19
723.5000 A45 31 2 82.5000 Street_10 Street_6 298 N Street_10->Street_7->Street_6
741.9000 A16 31 1 520.9000 Avenue_12 Avenue_11 291 N Avenue_12->Avenue_11
787.1000 A2 31 2 758.1000 Avenue_12 Street_5 287 N Avenue_12->Street_9->Street_5
824.4000 A56 31 1 22.4000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
865.8000 A52 31 1 125.8000 Street_1 Street_8 297 N Street_1->Street_8
922.3000 A54 31 1 152.3000 Street_1 Street_9 297 N Street_1->Street_9
965.4000 A55 31 3 178.4000 Street_8 Street_10 297 N Street_8->Street_1->Street_5->Street_10
1008.1000 A67 31 2 49.1000 Street_3 Street_1 299 N Street_3->Street_4->Street_1
1019.0000 A49 31 2 324.0000 Street_4 Street_2 294 N Street_4->Street_10->Street_2
1024.1000 A43 31 2 413.1000 Street_2 Street_3 293 N Street_2->Street_5->Street_3
1114.2000 A70 31 2 113.2000 Street_4 Street_5 298 N Street_4->Street_7->Street_5
1134.1000 A59 31 1 287.1000 Street_2 Street_8 295 N Street_2->Street_8
1142.6000 A79 31 1 17.6000 Avenue_14 Avenue_17 299 N Avenue_14->Avenue_17
1145.6000 A57 31 3 332.6000 Avenue_19 Street_7 294 N Avenue_19->Avenue_16->Street_2->Street_7
1159.3000 A27 31 3 793.3000 Avenue_15 Street_4 286 N Avenue_15->Avenue_20->Avenue_16->Street_4
1159.4000 A18 31 2 914.4000 Avenue_18 Street_4 284 N Avenue_18->Avenue_16->Street_4
1195.5000 A81 31 1 41.5000 Street_1 Street_5 299 N Street_1->Street_5
1231.4000 A31 31 3 805.4000 Street_9 Avenue_20 286 N Street_9->Street_4->Avenue_16->Avenue_20
1231.5000 A53 31 3 472.5000 Street_7 Avenue_20 292 N Street_7->Street_4->Avenue_16->Avenue_20
1231.6000 A21 31 3 951.6000 Street_8 Avenue_20 284 N Street_8->Street_4->Avenue_16->Avenue_20
1239.7000 A69 31 2 252.7000 Street_6 Avenue_19 295 N Street_6->Avenue_11->Avenue_19
1240.2000 A73 31 2 205.2000 Street_3 Street_5 296 N Street_3->Street_10->Street_5
1250.7000 A62 31 2 360.7000 Avenue_15 Street_3 293 N Avenue_15->Street_6->Street_3
1271.2000 A87 31 1 31.2000 Street_6 Street_8 299 N Street_6->Street_8
1271.3000 A47 31 2 604.3000 Avenue_15 Street_8 289 N Avenue_15->Street_6->Street_8
1287.3000 A32 31 3 848.3000 Street_10 Avenue_13 285 N Street_10->Street_6->Avenue_11->Avenue_13
1301.1000 A85 31 3 88.1000 Avenue_16 Street_3 298 N Avenue_16->Street_1->Street_8->Street_3
1399.5000 A94 31 1 60.5000 Street_3 Street_9 298 N Street_3->Street_9
1403.0000 A77 31 2 309.0000 Street_9 Avenue_14 294 N Street_9->Avenue_20->Avenue_14
1403.1000 A28 31 2 1022.1000 Street_4 Avenue_14 282 N Street_4->Avenue_20->Avenue_14
1403.2000 A30 31 2 992.2000 Street_1 Avenue_14 283 N Street_1->Avenue_20->Avenue_14
1410.6000 A44 31 1 787.6000 Street_5 Avenue_19 286 N Street_5->Avenue_19
1420.4000 A10 31 2 1279.4000 Avenue_14 Street_5 278 N Avenue_14->Avenue_20->Street_5
1436.5000 A93 31 3 113.5000 Avenue_16 Street_1 298 N Avenue_16->Street_6->Street_8->Street_1
1462.1000 A37 31 4 946.1000 Avenue_17 Street_2 284 N Avenue_17->Street_4->Street_1->Street_6->Street_2
1462.2000 A72 31 5 438.2000 Avenue_12 Street_2 292 N Avenue_12->Avenue_17->Street_4->Street_1->Street_6->Street_2
1500.1000 A46 31 2 843.1000 Avenue_19 Street_10 285 N Avenue_19->Street_2->Street_10
1501.6000 A106 31 1 1.6000 Street_3 Avenue_14 299 N Street_3->Avenue_14
1529.5000 A65 31 3 596.5000 Street_10 Avenue_11 290 N Street_10->Street_6->Avenue_16->Avenue_11
1529.6000 A7 31 3 1431.6000 Street_3 Avenue_11 276 N Street_3->Street_6->Avenue_16->Avenue_11
1547.4000 A14 31 1 1348.4000 Street_1 Avenue_13 277 N Street_1->Avenue_13
1604.4000 A107 31 2 87.4000 Street_4 Street_5 298 N Street_4->Street_7->Street_5
1606.0000 A76 31 1 528.0000 Avenue_13 Street_10 291 N Avenue_13->Street_10
1610.1000 A114 31 1 0.1000 Street_7 Street_5 299 N Street_7->Street_5
1620.9000 A99 31 2 215.9000 Avenue_20 Street_2 296 N Avenue_20->Street_5->Street_2
1623.0000 A19 31 1 1365.0000 Street_10 Avenue_18 277 N Street_10->Avenue_18
1623.1000 A50 31 1 911.1000 Street_10 Avenue_18 284 N Street_10->Avenue_18
1623.2000 A41 31 1 1040.2000 Avenue_18 Street_10 282 N Avenue_18->Street_10
1624.8000 A60 31 1 766.8000 Avenue_13 Avenue_18 287 N Avenue_13->Avenue_18
1643.3000 A91 31 2 345.3000 Avenue_18 Street_2 294 N Avenue_18->Street_8->Street_2
1663.0000 A71 31 2 649.0000 Avenue_13 Street_3 289 N Avenue_13->Street_10->Street_3
1664.7000 A101 31 1 231.7000 Avenue_16 Avenue_12 296 N Avenue_16->Avenue_12
1673.7000 A113 31 1 76.7000 Street_4 Street_10 298 N Street_4->Street_10
1685.5000 A66 31 2 737.5000 Avenue_16 Avenue_17 287 N Avenue_16->Avenue_19->Avenue_17
1685.6000 A64 31 3 769.6000 Street_9 Avenue_17 287 N Street_9->Avenue_20->Avenue_19->Avenue_17
1708.2000 A23 31 2 1399.2000 Avenue_13 Street_9 276 N Avenue_13->Street_3->Street_9
1708.3000 A68 31 2 738.3000 Avenue_13 Street_9 287 N Avenue_13->Street_3->Street_9
1721.1000 A75 31 2 660.1000 Avenue_18 Avenue_11 288 N Avenue_18->Avenue_17->Avenue_11
1753.1000 A123 31 1 0.1000 Avenue_12 Avenue_14 299 N Avenue_12->Avenue_14
1754.1000 A100 31 2 333.1000 Avenue_13 Avenue_16 294 N Avenue_13->Avenue_18->Avenue_16
1754.2000 A3 31 2 1714.2000 Street_6 Avenue_18 271 N Street_6->Avenue_16->Avenue_18
1754.6000 A105 31 3 267.6000 Street_4 Avenue_11 295 N Street_4->Avenue_18->Avenue_16->Avenue_11
1788.6000 A115 31 2 162.6000 Avenue_18 Street_1 297 N Avenue_18->Street_4->Street_1
1804.5000 A58 31 3 976.5000 Avenue_13 Street_7 283 N Avenue_13->Street_8->Street_5->Street_7
1821.2000 A104 31 1 344.2000 Avenue_11 Avenue_19 294 N Avenue_11->Avenue_19
1836.2000 A74 31 2 785.2000 Avenue_17 Avenue_13 286 N Avenue_17->Avenue_19->Avenue_13
1846.1000 A130 31 1 0.1000 Avenue_11 Avenue_19 299 N Avenue_11->Avenue_19
1853.4000 A109 31 1 308.4000 Street_7 Street_1 294 N Street_7->Street_1
1890.5000 A119 31 1 195.5000 Avenue_20 Avenue_13 296 N Avenue_20->Avenue_13
1898.6000 A84 31 4 695.6000 Street_7 Avenue_14 288 N Street_7->Street_4->Street_8->Avenue_13->Avenue_14
1898.7000 A80 31 4 763.7000 Street_7 Avenue_14 287 N Street_7->Street_4->Street_8->Avenue_13->Avenue_14
1914.0000 A63 31 2 1010.0000 Street_3 Avenue_12 283 N Street_3->Avenue_13->Avenue_12
1914.6000 A90 31 1 627.6000 Station1_0 Street_9 289 N Station1_0->Street_9
1936.7000 A134 31 3 30.7000 Avenue_13 Avenue_20 299 N Avenue_13->Avenue_14->Avenue_16->Avenue_20
1990.2000 A117 31 1 326.2000 Avenue_19 Avenue_20 294 N Avenue_19->Avenue_20
2018.3000 A128 31 3 198.3000 Station1_0 Street_6 296 N Station1_0->Street_9->Street_7->Street_6
