# messageDelay  cumulativeProbability
0.1000 0.0017
0.1000 0.0034
0.1000 0.0051
0.1000 0.0068
0.1000 0.0084
0.1000 0.0101
0.1000 0.0118
0.1000 0.0135
0.1000 0.0152
0.1000 0.0169
0.1000 0.0186
0.2000 0.0203
0.3000 0.0220
1.1000 0.0236
1.6000 0.0253
3.7000 0.0270
4.3000 0.0287
5.2000 0.0304
5.7000 0.0321
6.7000 0.0338
8.0000 0.0355
16.0000 0.0372
16.9000 0.0389
17.6000 0.0405
18.0000 0.0422
18.4000 0.0439
19.8000 0.0456
21.5000 0.0473
21.6000 0.0490
21.9000 0.0507
22.4000 0.0524
25.9000 0.0541
26.4000 0.0557
30.6000 0.0574
30.7000 0.0591
30.9000 0.0608
31.2000 0.0625
33.9000 0.0642
34.8000 0.0659
35.8000 0.0676
36.6000 0.0693
37.5000 0.0709
37.7000 0.0726
39.6000 0.0743
41.5000 0.0760
43.2000 0.0777
43.3000 0.0794
45.4000 0.0811
45.6000 0.0828
46.6000 0.0845
47.1000 0.0861
48.4000 0.0878
49.1000 0.0895
50.8000 0.0912
51.0000 0.0929
51.9000 0.0946
52.5000 0.0963
59.5000 0.0980
60.5000 0.0997
61.7000 0.1014
67.9000 0.1030
68.0000 0.1047
68.7000 0.1064
69.3000 0.1081
70.9000 0.1098
72.8000 0.1115
76.2000 0.1132
76.7000 0.1149
82.5000 0.1166
82.6000 0.1182
84.1000 0.1199
87.4000 0.1216
88.1000 0.1233
89.1000 0.1250
92.1000 0.1267
92.4000 0.1284
93.0000 0.1301
94.0000 0.1318
94.9000 0.1334
95.6000 0.1351
97.8000 0.1368
99.8000 0.1385
100.3000 0.1402
100.4000 0.1419
100.7000 0.1436
101.7000 0.1453
101.7000 0.1470
102.7000 0.1486
104.6000 0.1503
104.8000 0.1520
106.5000 0.1537
108.2000 0.1554
112.2000 0.1571
113.2000 0.1588
113.5000 0.1605
115.4000 0.1622
115.8000 0.1639
116.7000 0.1655
119.1000 0.1672
120.3000 0.1689
122.5000 0.1706
124.3000 0.1723
125.8000 0.1740
130.3000 0.1757
136.1000 0.1774
137.1000 0.1791
137.9000 0.1807
138.7000 0.1824
139.0000 0.1841
139.5000 0.1858
140.3000 0.1875
142.5000 0.1892
143.2000 0.1909
143.7000 0.1926
144.5000 0.1943
152.3000 0.1959
152.4000 0.1976
153.6000 0.1993
154.7000 0.2010
159.7000 0.2027
160.4000 0.2044
162.5000 0.2061
162.6000 0.2078
166.5000 0.2095
167.5000 0.2111
167.8000 0.2128
171.5000 0.2145
171.8000 0.2162
172.8000 0.2179
174.1000 0.2196
175.1000 0.2213
178.2000 0.2230
178.3000 0.2247
178.4000 0.2264
181.6000 0.2280
183.2000 0.2297
185.4000 0.2314
187.8000 0.2331
189.3000 0.2348
195.5000 0.2365
198.3000 0.2382
201.6000 0.2399
204.6000 0.2416
205.2000 0.2432
208.3000 0.2449
208.4000 0.2466
208.6000 0.2483
210.7000 0.2500
211.3000 0.2517
211.4000 0.2534
212.3000 0.2551
212.9000 0.2568
213.0000 0.2584
213.3000 0.2601
213.9000 0.2618
213.9000 0.2635
215.9000 0.2652
217.3000 0.2669
217.8000 0.2686
217.9000 0.2703
218.1000 0.2720
218.2000 0.2736
218.3000 0.2753
219.7000 0.2770
220.4000 0.2787
223.5000 0.2804
223.8000 0.2821
224.7000 0.2838
227.0000 0.2855
229.7000 0.2872
231.7000 0.2889
235.6000 0.2905
238.7000 0.2922
239.1000 0.2939
243.4000 0.2956
244.2000 0.2973
246.8000 0.2990
252.7000 0.3007
253.9000 0.3024
255.5000 0.3041
255.5000 0.3057
256.0000 0.3074
258.4000 0.3091
260.0000 0.3108
261.8000 0.3125
267.1000 0.3142
267.6000 0.3159
268.5000 0.3176
268.8000 0.3193
270.8000 0.3209
272.6000 0.3226
273.1000 0.3243
274.8000 0.3260
277.9000 0.3277
280.3000 0.3294
282.7000 0.3311
283.3000 0.3328
283.5000 0.3345
284.6000 0.3361
286.5000 0.3378
287.1000 0.3395
287.9000 0.3412
288.0000 0.3429
291.5000 0.3446
292.2000 0.3463
292.3000 0.3480
297.0000 0.3497
299.1000 0.3514
301.1000 0.3530
303.5000 0.3547
306.8000 0.3564
307.7000 0.3581
308.4000 0.3598
309.0000 0.3615
311.4000 0.3632
314.0000 0.3649
316.6000 0.3666
319.2000 0.3682
319.3000 0.3699
321.2000 0.3716
324.0000 0.3733
325.0000 0.3750
326.2000 0.3767
326.8000 0.3784
332.6000 0.3801
333.1000 0.3818
339.1000 0.3834
340.9000 0.3851
343.4000 0.3868
344.2000 0.3885
345.3000 0.3902
346.9000 0.3919
349.8000 0.3936
352.7000 0.3953
353.8000 0.3970
354.5000 0.3986
354.7000 0.4003
355.9000 0.4020
356.1000 0.4037
356.7000 0.4054
360.0000 0.4071
360.7000 0.4088
364.4000 0.4105
365.9000 0.4122
366.2000 0.4139
367.4000 0.4155
369.9000 0.4172
370.7000 0.4189
371.4000 0.4206
373.2000 0.4223
373.5000 0.4240
373.6000 0.4257
377.2000 0.4274
379.2000 0.4291
380.5000 0.4307
380.6000 0.4324
382.8000 0.4341
389.5000 0.4358
390.7000 0.4375
391.1000 0.4392
395.7000 0.4409
396.2000 0.4426
396.3000 0.4443
396.6000 0.4459
396.6000 0.4476
405.4000 0.4493
407.2000 0.4510
407.4000 0.4527
411.9000 0.4544
413.1000 0.4561
414.2000 0.4578
415.0000 0.4595
415.7000 0.4611
415.7000 0.4628
417.6000 0.4645
418.7000 0.4662
423.3000 0.4679
423.7000 0.4696
426.3000 0.4713
429.2000 0.4730
430.2000 0.4747
431.9000 0.4764
434.3000 0.4780
438.2000 0.4797
447.8000 0.4814
451.8000 0.4831
454.2000 0.4848
455.2000 0.4865
457.3000 0.4882
457.8000 0.4899
458.0000 0.4916
462.6000 0.4932
462.9000 0.4949
463.4000 0.4966
464.7000 0.4983
465.1000 0.5000
468.1000 0.5017
469.1000 0.5034
470.8000 0.5051
472.2000 0.5068
472.5000 0.5084
472.6000 0.5101
475.3000 0.5118
476.2000 0.5135
479.1000 0.5152
481.5000 0.5169
483.9000 0.5186
485.4000 0.5203
485.6000 0.5220
492.5000 0.5236
492.6000 0.5253
493.2000 0.5270
495.5000 0.5287
496.9000 0.5304
502.2000 0.5321
502.3000 0.5338
508.5000 0.5355
509.4000 0.5372
510.0000 0.5389
511.4000 0.5405
520.9000 0.5422
528.0000 0.5439
531.0000 0.5456
531.3000 0.5473
542.4000 0.5490
546.2000 0.5507
548.8000 0.5524
552.0000 0.5541
560.4000 0.5557
562.7000 0.5574
563.9000 0.5591
564.8000 0.5608
565.5000 0.5625
567.7000 0.5642
568.1000 0.5659
573.2000 0.5676
576.0000 0.5693
576.6000 0.5709
576.8000 0.5726
581.9000 0.5743
582.6000 0.5760
586.0000 0.5777
593.0000 0.5794
594.6000 0.5811
595.1000 0.5828
595.7000 0.5845
596.5000 0.5861
601.8000 0.5878
603.3000 0.5895
604.3000 0.5912
604.3000 0.5929
607.0000 0.5946
608.9000 0.5963
609.9000 0.5980
614.8000 0.5997
615.7000 0.6014
618.3000 0.6030
619.1000 0.6047
620.4000 0.6064
622.1000 0.6081
624.6000 0.6098
627.6000 0.6115
627.9000 0.6132
634.3000 0.6149
635.8000 0.6166
636.3000 0.6182
645.4000 0.6199
648.4000 0.6216
649.0000 0.6233
651.6000 0.6250
655.9000 0.6267
656.4000 0.6284
657.1000 0.6301
657.4000 0.6318
660.1000 0.6334
662.0000 0.6351
665.2000 0.6368
