# time  created  delivered  delivered/created
10.0000 1 0 0.0000
29.0000 2 0 0.0000
40.0000 3 0 0.0000
56.0000 4 0 0.0000
71.0000 5 0 0.0000
81.0000 6 0 0.0000
98.0000 7 0 0.0000
117.0000 8 0 0.0000
128.0000 9 0 0.0000
141.0000 10 0 0.0000
158.0000 11 0 0.0000
168.0000 12 0 0.0000
181.0000 13 0 0.0000
199.0000 14 0 0.0000
209.0000 15 0 0.0000
217.4000 15 1 0.0667
221.0000 16 1 0.0625
234.0000 17 1 0.0588
239.2000 17 2 0.1176
245.0000 18 2 0.1111
258.0000 19 2 0.1053
268.0000 20 2 0.1000
275.0000 20 3 0.1500
280.0000 21 3 0.1429
294.0000 22 3 0.1364
309.0000 23 3 0.1304
320.0000 24 3 0.1250
323.7000 24 4 0.1667
334.0000 25 4 0.1600
334.1000 25 5 0.2000
351.0000 26 5 0.1923
366.0000 27 5 0.1852
381.0000 28 5 0.1786
394.0000 29 5 0.1724
400.7000 29 6 0.2069
411.0000 30 6 0.2000
426.0000 31 6 0.1935
435.6000 31 7 0.2258
436.8000 31 8 0.2581
439.0000 32 8 0.2500
440.9000 32 9 0.2813
441.0000 32 10 0.3125
451.3000 32 11 0.3438
457.0000 33 11 0.3333
476.0000 34 11 0.3235
480.7000 34 12 0.3529
486.0000 35 12 0.3429
501.0000 36 12 0.3333
516.0000 37 12 0.3243
534.0000 38 12 0.3158
549.5000 38 13 0.3421
551.0000 39 13 0.3333
551.1000 39 14 0.3590
564.0000 40 14 0.3500
583.0000 41 14 0.3415
591.4000 41 15 0.3659
593.0000 42 15 0.3571
602.7000 42 16 0.3810
611.0000 43 16 0.3721
611.7000 43 17 0.3953
612.2000 43 18 0.4186
623.0000 44 18 0.4091
624.7000 44 19 0.4318
641.0000 45 19 0.4222
657.0000 46 19 0.4130
667.0000 47 19 0.4043
675.3000 47 20 0.4255
678.0000 48 20 0.4167
695.0000 49 20 0.4082
712.0000 50 20 0.4000
723.5000 50 21 0.4200
730.0000 51 21 0.4118
740.0000 52 21 0.4038
741.9000 52 22 0.4231
759.0000 53 22 0.4151
770.0000 54 22 0.4074
787.0000 55 22 0.4000
787.1000 55 23 0.4182
802.0000 56 23 0.4107
813.0000 57 23 0.4035
824.4000 57 24 0.4211
828.0000 58 24 0.4138
847.0000 59 24 0.4068
858.0000 60 24 0.4000
865.8000 60 25 0.4167
873.0000 61 25 0.4098
890.0000 62 25 0.4032
904.0000 63 25 0.3968
916.0000 64 25 0.3906
922.3000 64 26 0.4063
933.0000 65 26 0.4000
948.0000 66 26 0.3939
959.0000 67 26 0.3881
965.4000 67 27 0.4030
970.0000 68 27 0.3971
987.0000 69 27 0.3913
1001.0000 70 27 0.3857
1008.1000 70 28 0.4000
1014.0000 71 28 0.3944
1019.0000 71 29 0.4085
1024.0000 72 29 0.4028
1024.1000 72 30 0.4167
1035.0000 73 30 0.4110
1051.0000 74 30 0.4054
1061.0000 75 30 0.4000
1078.0000 76 30 0.3947
1094.0000 77 30 0.3896
1112.0000 78 30 0.3846
1114.2000 78 31 0.3974
1125.0000 79 31 0.3924
1134.1000 79 32 0.4051
1135.0000 80 32 0.4000
1142.6000 80 33 0.4125
1145.6000 80 34 0.4250
1154.0000 81 34 0.4198
1159.3000 81 35 0.4321
1159.4000 81 36 0.4444
1170.0000 82 36 0.4390
1188.0000 83 36 0.4337
1195.5000 83 37 0.4458
1203.0000 84 37 0.4405
1213.0000 85 37 0.4353
1230.0000 86 37 0.4302
1231.4000 86 38 0.4419
1231.5000 86 39 0.4535
1231.6000 86 40 0.4651
1239.7000 86 41 0.4767
1240.0000 87 41 0.4713
1240.2000 87 42 0.4828
1250.7000 87 43 0.4943
1259.0000 88 43 0.4886
1271.2000 88 44 0.5000
1271.3000 88 45 0.5114
1277.0000 89 45 0.5056
1287.0000 90 45 0.5000
1287.3000 90 46 0.5111
1298.0000 91 46 0.5055
1301.1000 91 47 0.5165
1313.0000 92 47 0.5109
1323.0000 93 47 0.5054
1339.0000 94 47 0.5000
1352.0000 95 47 0.4947
1364.0000 96 47 0.4896
1383.0000 97 47 0.4845
1394.0000 98 47 0.4796
1399.5000 98 48 0.4898
1403.0000 98 49 0.5000
1403.1000 98 50 0.5102
1403.2000 98 51 0.5204
1405.0000 99 51 0.5152
1410.6000 99 52 0.5253
1420.4000 99 53 0.5354
1421.0000 100 53 0.5300
1433.0000 101 53 0.5248
1436.5000 101 54 0.5347
1444.0000 102 54 0.5294
1462.1000 102 55 0.5392
1462.2000 102 56 0.5490
1463.0000 103 56 0.5437
1477.0000 104 56 0.5385
1487.0000 105 56 0.5333
1500.0000 106 56 0.5283
1500.1000 106 57 0.5377
1501.6000 106 58 0.5472
1517.0000 107 58 0.5421
1528.0000 108 58 0.5370
1529.5000 108 59 0.5463
1529.6000 108 60 0.5556
1545.0000 109 60 0.5505
1547.4000 109 61 0.5596
1555.0000 110 61 0.5545
1572.0000 111 61 0.5495
1584.0000 112 61 0.5446
1597.0000 113 61 0.5398
