# messageDelay  cumulativeProbability
0.1000 0.0002
0.1000 0.0003
0.1000 0.0005
0.1000 0.0007
0.1000 0.0008
0.1000 0.0010
0.1000 0.0012
0.1000 0.0013
0.1000 0.0015
0.1000 0.0017
0.1000 0.0018
0.1000 0.0020
0.1000 0.0022
0.1000 0.0023
0.1000 0.0025
0.1000 0.0027
0.1000 0.0028
0.1000 0.0030
0.1000 0.0032
0.1000 0.0033
0.1000 0.0035
0.1000 0.0037
0.1000 0.0039
0.1000 0.0040
0.1000 0.0042
0.1000 0.0044
0.1000 0.0045
0.1000 0.0047
0.1000 0.0049
0.1000 0.0050
0.1000 0.0052
0.1000 0.0054
0.1000 0.0055
0.1000 0.0057
0.1000 0.0059
0.1000 0.0060
0.1000 0.0062
0.1000 0.0064
0.1000 0.0065
0.1000 0.0067
0.1000 0.0069
0.1000 0.0070
0.1000 0.0072
0.1000 0.0074
0.1000 0.0075
0.1000 0.0077
0.1000 0.0079
0.1000 0.0080
0.1000 0.0082
0.1000 0.0084
0.1000 0.0085
0.1000 0.0087
0.1000 0.0089
0.1000 0.0090
0.1000 0.0092
0.1000 0.0094
0.1000 0.0095
0.1000 0.0097
0.1000 0.0099
0.1000 0.0100
0.1000 0.0102
0.2000 0.0104
0.3000 0.0105
0.3000 0.0107
0.3000 0.0109
0.4000 0.0111
0.5000 0.0112
0.7000 0.0114
0.7000 0.0116
1.0000 0.0117
1.0000 0.0119
1.0000 0.0121
1.1000 0.0122
1.2000 0.0124
1.3000 0.0126
1.4000 0.0127
1.6000 0.0129
1.6000 0.0131
1.6000 0.0132
2.0000 0.0134
2.0000 0.0136
2.0000 0.0137
2.3000 0.0139
2.6000 0.0141
2.6000 0.0142
2.8000 0.0144
2.8000 0.0146
2.9000 0.0147
3.3000 0.0149
3.3000 0.0151
3.4000 0.0152
3.5000 0.0154
3.7000 0.0156
4.2000 0.0157
4.3000 0.0159
4.3000 0.0161
4.3000 0.0162
4.4000 0.0164
4.4000 0.0166
4.5000 0.0167
4.8000 0.0169
4.9000 0.0171
4.9000 0.0172
5.0000 0.0174
5.1000 0.0176
5.2000 0.0177
5.5000 0.0179
5.7000 0.0181
5.8000 0.0183
5.8000 0.0184
6.0000 0.0186
6.6000 0.0188
6.7000 0.0189
6.7000 0.0191
6.8000 0.0193
6.9000 0.0194
7.4000 0.0196
7.7000 0.0198
7.8000 0.0199
8.0000 0.0201
8.1000 0.0203
8.1000 0.0204
8.1000 0.0206
8.2000 0.0208
8.4000 0.0209
8.5000 0.0211
8.5000 0.0213
8.6000 0.0214
8.8000 0.0216
8.8000 0.0218
9.0000 0.0219
9.3000 0.0221
9.4000 0.0223
9.6000 0.0224
10.1000 0.0226
10.1000 0.0228
10.4000 0.0229
10.5000 0.0231
10.6000 0.0233
10.9000 0.0234
