# time  ID  size  fromHost  toHost  TTL  isResponse
10.0000 A1 20 Avenue_11 Avenue_15 300 N 
29.0000 A2 20 Avenue_12 Street_5 300 N 
40.0000 A3 20 Street_6 Avenue_18 300 N 
56.0000 A4 20 Street_4 Street_3 300 N 
71.0000 A5 20 Avenue_13 Street_5 300 N 
81.0000 A6 20 Street_1 Street_5 300 N 
98.0000 A7 20 Street_3 Avenue_11 300 N 
117.0000 A8 20 Street_10 Street_4 300 N 
128.0000 A9 20 Avenue_16 Street_1 300 N 
141.0000 A10 20 Avenue_14 Street_5 300 N 
158.0000 A11 20 Street_6 DENVpatients_0 300 N 
168.0000 A12 20 Avenue_19 Avenue_13 300 N 
181.0000 A13 20 Street_1 Street_9 300 N 
199.0000 A14 20 Street_1 Avenue_13 300 N 
209.0000 A15 20 Avenue_17 Avenue_12 300 N 
221.0000 A16 20 Avenue_12 Avenue_11 300 N 
234.0000 A17 20 Street_3 Street_2 300 N 
245.0000 A18 20 Avenue_18 Street_4 300 N 
258.0000 A19 20 Street_10 Avenue_18 300 N 
268.0000 A20 20 Hospital_21 Avenue_12 300 N 
280.0000 A21 20 Street_8 Avenue_20 300 N 
294.0000 A22 20 Street_4 Street_2 300 N 
309.0000 A23 20 Avenue_13 Street_9 300 N 
320.0000 A24 20 Avenue_12 Avenue_13 300 N 
334.0000 A25 20 Avenue_16 Street_4 300 N 
351.0000 A26 20 Street_8 Street_7 300 N 
366.0000 A27 20 Avenue_15 Street_4 300 N 
381.0000 A28 20 Street_4 Avenue_14 300 N 
394.0000 A29 20 Avenue_12 Street_10 300 N 
411.0000 A30 20 Street_1 Avenue_14 300 N 
426.0000 A31 20 Street_9 Avenue_20 300 N 
439.0000 A32 20 Street_10 Avenue_13 300 N 
457.0000 A33 20 Street_5 Avenue_12 300 N 
476.0000 A34 20 Street_1 Street_7 300 N 
486.0000 A35 20 Avenue_14 Avenue_19 300 N 
501.0000 A36 20 Avenue_12 Street_1 300 N 
516.0000 A37 20 Avenue_17 Street_2 300 N 
534.0000 A38 20 Hospital_21 Avenue_12 300 N 
551.0000 A39 20 Street_3 Street_4 300 N 
564.0000 A40 20 DENVpatients_0 Avenue_18 300 N 
583.0000 A41 20 Avenue_18 Street_10 300 N 
593.0000 A42 20 Street_7 Avenue_16 300 N 
611.0000 A43 20 Street_2 Street_3 300 N 
623.0000 A44 20 Street_5 Avenue_19 300 N 
641.0000 A45 20 Street_10 Street_6 300 N 
657.0000 A46 20 Avenue_19 Street_10 300 N 
667.0000 A47 20 Avenue_15 Street_8 300 N 
678.0000 A48 20 Avenue_19 DENVpatients_0 300 N 
695.0000 A49 20 Street_4 Street_2 300 N 
712.0000 A50 20 Street_10 Avenue_18 300 N 
730.0000 A51 20 Hospital_21 Street_1 300 N 
740.0000 A52 20 Street_1 Street_8 300 N 
759.0000 A53 20 Street_7 Avenue_20 300 N 
770.0000 A54 20 Street_1 Street_9 300 N 
787.0000 A55 20 Street_8 Street_10 300 N 
802.0000 A56 20 Avenue_12 Avenue_13 300 N 
813.0000 A57 20 Avenue_19 Street_7 300 N 
828.0000 A58 20 Avenue_13 Street_7 300 N 
847.0000 A59 20 Street_2 Street_8 300 N 
858.0000 A60 20 Avenue_13 Avenue_18 300 N 
873.0000 A61 20 Avenue_12 Street_4 300 N 
890.0000 A62 20 Avenue_15 Street_3 300 N 
904.0000 A63 20 Street_3 Avenue_12 300 N 
916.0000 A64 20 Street_9 Avenue_17 300 N 
933.0000 A65 20 Street_10 Avenue_11 300 N 
948.0000 A66 20 Avenue_16 Avenue_17 300 N 
959.0000 A67 20 Street_3 Street_1 300 N 
970.0000 A68 20 Avenue_13 Street_9 300 N 
987.0000 A69 20 Street_6 Avenue_19 300 N 
1001.0000 A70 20 Street_4 Street_5 300 N 
1014.0000 A71 20 Avenue_13 Street_3 300 N 
1024.0000 A72 20 Avenue_12 Street_2 300 N 
1035.0000 A73 20 Street_3 Street_5 300 N 
1051.0000 A74 20 Avenue_17 Avenue_13 300 N 
1061.0000 A75 20 Avenue_18 Avenue_11 300 N 
1078.0000 A76 20 Avenue_13 Street_10 300 N 
1094.0000 A77 20 Street_9 Avenue_14 300 N 
1112.0000 A78 20 Avenue_12 DENVpatients_0 300 N 
1125.0000 A79 20 Avenue_14 Avenue_17 300 N 
1135.0000 A80 20 Street_7 Avenue_14 300 N 
1154.0000 A81 20 Street_1 Street_5 300 N 
1170.0000 A82 20 Street_9 Avenue_18 300 N 
1188.0000 A83 20 Street_3 Hospital_21 300 N 
1203.0000 A84 20 Street_7 Avenue_14 300 N 
1213.0000 A85 20 Avenue_16 Street_3 300 N 
1230.0000 A86 20 Street_3 DENVpatients_0 300 N 
1240.0000 A87 20 Street_6 Street_8 300 N 
1259.0000 A88 20 Street_6 Avenue_12 300 N 
1277.0000 A89 20 Street_6 Avenue_13 300 N 
1287.0000 A90 20 DENVpatients_0 Street_9 300 N 
1298.0000 A91 20 Avenue_18 Street_2 300 N 
1313.0000 A92 20 Street_7 Avenue_15 300 N 
1323.0000 A93 20 Avenue_16 Street_1 300 N 
1339.0000 A94 20 Street_3 Street_9 300 N 
1352.0000 A95 20 Avenue_17 DENVpatients_0 300 N 
1364.0000 A96 20 Avenue_16 Hospital_21 300 N 
1383.0000 A97 20 Avenue_15 DENVpatients_0 300 N 
1394.0000 A98 20 Avenue_12 Street_2 300 N 
1405.0000 A99 20 Avenue_20 Street_2 300 N 
1421.0000 A100 20 Avenue_13 Avenue_16 300 N 
1433.0000 A101 20 Avenue_16 Avenue_12 300 N 
1444.0000 A102 20 Street_10 Hospital_21 300 N 
1463.0000 A103 20 Street_2 DENVpatients_0 300 N 
1477.0000 A104 20 Avenue_11 Avenue_19 300 N 
1487.0000 A105 20 Street_4 Avenue_11 300 N 
1500.0000 A106 20 Street_3 Avenue_14 300 N 
1517.0000 A107 20 Street_4 Street_5 300 N 
1528.0000 A108 20 Hospital_21 Avenue_11 300 N 
1545.0000 A109 20 Street_7 Street_1 300 N 
1555.0000 A110 20 Avenue_19 Hospital_21 300 N 
1572.0000 A111 20 Avenue_11 Street_9 300 N 
1584.0000 A112 20 Street_5 Avenue_20 300 N 
1597.0000 A113 20 Street_4 Street_10 300 N 
1610.0000 A114 20 Street_7 Street_5 300 N 
1626.0000 A115 20 Avenue_18 Street_1 300 N 
1645.0000 A116 20 Avenue_13 Avenue_18 300 N 
1664.0000 A117 20 Avenue_19 Avenue_20 300 N 
1678.0000 A118 20 Street_1 Avenue_20 300 N 
1695.0000 A119 20 Avenue_20 Avenue_13 300 N 
1712.0000 A120 20 Street_8 Avenue_16 300 N 
1729.0000 A121 20 Avenue_11 DENVpatients_0 300 N 
1741.0000 A122 20 Street_5 Avenue_18 300 N 
1753.0000 A123 20 Avenue_12 Avenue_14 300 N 
1766.0000 A124 20 Street_1 Avenue_14 300 N 
1776.0000 A125 20 Avenue_15 Street_7 300 N 
1791.0000 A126 20 Avenue_20 Street_8 300 N 
1810.0000 A127 20 DENVpatients_0 Avenue_17 300 N 
1820.0000 A128 20 DENVpatients_0 Street_6 300 N 
1835.0000 A129 20 Street_2 Avenue_14 300 N 
1846.0000 A130 20 Avenue_11 Avenue_19 300 N 
1859.0000 A131 20 Avenue_12 Avenue_14 300 N 
1876.0000 A132 20 Street_5 Street_4 300 N 
1888.0000 A133 20 Avenue_18 Avenue_11 300 N 
1906.0000 A134 20 Avenue_13 Avenue_20 300 N 
1919.0000 A135 20 DENVpatients_0 Street_4 300 N 
1929.0000 A136 20 Street_9 Avenue_17 300 N 
1941.0000 A137 20 Avenue_19 Avenue_11 300 N 
1960.0000 A138 20 Avenue_20 Street_2 300 N 
1977.0000 A139 20 Avenue_19 DENVpatients_0 300 N 
1996.0000 A140 20 Avenue_20 Street_2 300 N 
2008.0000 A141 20 Avenue_16 Street_10 300 N 
2025.0000 A142 20 Street_5 Avenue_19 300 N 
2041.0000 A143 20 Street_1 Hospital_21 300 N 
2056.0000 A144 20 DENVpatients_0 Street_2 300 N 
2074.0000 A145 20 Avenue_19 Avenue_13 300 N 
2091.0000 A146 20 Street_8 DENVpatients_0 300 N 
2103.0000 A147 20 Avenue_12 Street_7 300 N 
2117.0000 A148 20 Street_3 Avenue_15 300 N 
2136.0000 A149 20 DENVpatients_0 Street_3 300 N 
2153.0000 A150 20 Avenue_15 Street_2 300 N 
2168.0000 A151 20 Street_10 Avenue_13 300 N 
2180.0000 A152 20 Street_7 Avenue_18 300 N 
2199.0000 A153 20 Avenue_14 Avenue_12 300 N 
2213.0000 A154 20 Avenue_11 Street_7 300 N 
2229.0000 A155 20 Avenue_12 Street_7 300 N 
2245.0000 A156 20 Street_6 Avenue_15 300 N 
2259.0000 A157 20 Avenue_15 Street_3 300 N 
2269.0000 A158 20 Hospital_21 Street_1 300 N 
2285.0000 A159 20 Avenue_15 Avenue_16 300 N 
2304.0000 A160 20 Avenue_19 Avenue_13 300 N 
2318.0000 A161 20 Street_9 Avenue_15 300 N 
2331.0000 A162 20 Avenue_11 Avenue_17 300 N 
2347.0000 A163 20 Avenue_16 Street_1 300 N 
2358.0000 A164 20 Street_5 Avenue_17 300 N 
2369.0000 A165 20 Street_10 Street_5 300 N 
2381.0000 A166 20 Avenue_14 Street_1 300 N 
2391.0000 A167 20 Avenue_19 Avenue_14 300 N 
2404.0000 A168 20 Hospital_21 Avenue_18 300 N 
2414.0000 A169 20 Street_5 Avenue_11 300 N 
2424.0000 A170 20 Avenue_17 Avenue_19 300 N 
2434.0000 A171 20 Street_5 Street_7 300 N 
2451.0000 A172 20 Avenue_12 Avenue_16 300 N 
2466.0000 A173 20 Street_5 Avenue_17 300 N 
2485.0000 A174 20 Avenue_17 Avenue_19 300 N 
2495.0000 A175 20 Street_7 Avenue_12 300 N 
2510.0000 A176 20 Street_1 Street_3 300 N 
2528.0000 A177 20 Avenue_18 Avenue_14 300 N 
2543.0000 A178 20 Avenue_13 Street_6 300 N 
2553.0000 A179 20 Street_8 Street_4 300 N 
2564.0000 A180 20 Hospital_21 Avenue_11 300 N 
2574.0000 A181 20 Street_1 Avenue_15 300 N 
2592.0000 A182 20 Avenue_12 Street_1 300 N 
2604.0000 A183 20 Avenue_19 Avenue_17 300 N 
2618.0000 A184 20 Avenue_15 Street_4 300 N 
2637.0000 A185 20 Avenue_15 Street_8 300 N 
2654.0000 A186 20 Avenue_12 Street_7 300 N 
2669.0000 A187 20 Street_6 Street_7 300 N 
2685.0000 A188 20 Street_2 Street_10 300 N 
2695.0000 A189 20 Avenue_13 Avenue_15 300 N 
2707.0000 A190 20 Avenue_11 Avenue_17 300 N 
2726.0000 A191 20 Avenue_15 Street_4 300 N 
2745.0000 A192 20 DENVpatients_0 Avenue_19 300 N 
2757.0000 A193 20 Street_1 Street_2 300 N 
2776.0000 A194 20 Street_3 Street_2 300 N 
2789.0000 A195 20 Street_4 Street_5 300 N 
2808.0000 A196 20 Avenue_16 Avenue_15 300 N 
2818.0000 A197 20 Street_4 Avenue_15 300 N 
2831.0000 A198 20 Street_8 Street_5 300 N 
2843.0000 A199 20 Avenue_13 Avenue_17 300 N 
