# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
217.4000 A8 20 1 100.4000 Street_10 Street_4 298 N Street_10->Street_4
323.7000 A24 20 1 3.7000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
334.1000 A25 20 1 0.1000 Avenue_16 Street_4 299 N Avenue_16->Street_4
406.7000 A4 20 2 350.7000 Street_4 Street_3 294 N Street_4->Street_9->Street_3
436.8000 A12 20 1 268.8000 Avenue_19 Avenue_13 295 N Avenue_19->Avenue_13
440.9000 A5 20 2 369.9000 Avenue_13 Street_5 293 N Avenue_13->Street_7->Street_5
451.3000 A26 20 1 100.3000 Street_8 Street_7 298 N Street_8->Street_7
551.1000 A39 20 1 0.1000 Street_3 Street_4 299 N Street_3->Street_4
591.4000 A34 20 1 115.4000 Street_1 Street_7 298 N Street_1->Street_7
602.7000 A36 20 2 101.7000 Avenue_12 Street_1 298 N Avenue_12->Street_6->Street_1
675.3000 A35 20 1 189.3000 Avenue_14 Avenue_19 296 N Avenue_14->Avenue_19
723.5000 A45 20 2 82.5000 Street_10 Street_6 298 N Street_10->Street_7->Street_6
824.4000 A56 20 1 22.4000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
1019.0000 A49 20 2 324.0000 Street_4 Street_2 294 N Street_4->Street_10->Street_2
1078.9000 A55 20 2 291.9000 Street_8 Street_10 295 N Street_8->Street_1->Street_10
1142.6000 A79 20 1 17.6000 Avenue_14 Avenue_17 299 N Avenue_14->Avenue_17
1145.6000 A57 20 3 332.6000 Avenue_19 Street_7 294 N Avenue_19->Avenue_16->Street_2->Street_7
1301.1000 A85 20 3 88.1000 Avenue_16 Street_3 298 N Avenue_16->Street_1->Street_8->Street_3
1399.5000 A94 20 1 60.5000 Street_3 Street_9 298 N Street_3->Street_9
1436.5000 A93 20 3 113.5000 Avenue_16 Street_1 298 N Avenue_16->Street_6->Street_8->Street_1
1501.6000 A106 20 1 1.6000 Street_3 Avenue_14 299 N Street_3->Avenue_14
1610.1000 A114 20 1 0.1000 Street_7 Street_5 299 N Street_7->Street_5
1620.9000 A107 20 2 103.9000 Street_4 Street_5 298 N Street_4->Street_2->Street_5
1664.7000 A101 20 1 231.7000 Avenue_16 Avenue_12 296 N Avenue_16->Avenue_12
1753.1000 A123 20 1 0.1000 Avenue_12 Avenue_14 299 N Avenue_12->Avenue_14
1788.6000 A115 20 2 162.6000 Avenue_18 Street_1 297 N Avenue_18->Street_4->Street_1
1846.1000 A130 20 1 0.1000 Avenue_11 Avenue_19 299 N Avenue_11->Avenue_19
1936.7000 A134 20 3 30.7000 Avenue_13 Avenue_20 299 N Avenue_13->Avenue_14->Avenue_16->Avenue_20
