# messageDelay  cumulativeProbability
0.1000 0.0005
0.1000 0.0010
0.1000 0.0015
0.1000 0.0020
0.1000 0.0025
0.1000 0.0030
0.1000 0.0035
0.1000 0.0040
0.1000 0.0045
0.1000 0.0051
0.1000 0.0056
0.1000 0.0061
0.1000 0.0066
0.1000 0.0071
0.1000 0.0076
0.1000 0.0081
0.1000 0.0086
0.1000 0.0091
0.1000 0.0096
0.1000 0.0101
0.1000 0.0106
0.1000 0.0111
0.1000 0.0116
0.1000 0.0121
0.1000 0.0126
0.2000 0.0131
0.3000 0.0136
0.3000 0.0141
0.4000 0.0147
0.5000 0.0152
1.1000 0.0157
1.6000 0.0162
3.3000 0.0167
3.7000 0.0172
4.2000 0.0177
4.3000 0.0182
4.9000 0.0187
4.9000 0.0192
5.2000 0.0197
5.7000 0.0202
5.8000 0.0207
6.7000 0.0212
7.4000 0.0217
7.7000 0.0222
8.0000 0.0227
8.1000 0.0232
8.5000 0.0237
9.4000 0.0243
10.5000 0.0248
10.6000 0.0253
10.9000 0.0258
11.2000 0.0263
11.5000 0.0268
11.5000 0.0273
12.4000 0.0278
12.7000 0.0283
13.3000 0.0288
16.0000 0.0293
16.3000 0.0298
17.2000 0.0303
17.3000 0.0308
17.6000 0.0313
18.0000 0.0318
18.0000 0.0323
18.2000 0.0328
19.1000 0.0334
19.8000 0.0339
20.1000 0.0344
21.6000 0.0349
21.9000 0.0354
22.4000 0.0359
22.6000 0.0364
23.2000 0.0369
23.3000 0.0374
24.8000 0.0379
25.1000 0.0384
25.3000 0.0389
25.3000 0.0394
25.5000 0.0399
25.9000 0.0404
26.0000 0.0409
26.4000 0.0414
26.7000 0.0419
28.0000 0.0424
28.1000 0.0430
28.4000 0.0435
28.6000 0.0440
29.7000 0.0445
30.0000 0.0450
30.1000 0.0455
30.5000 0.0460
30.5000 0.0465
30.7000 0.0470
30.8000 0.0475
30.9000 0.0480
31.6000 0.0485
32.0000 0.0490
32.3000 0.0495
33.9000 0.0500
34.0000 0.0505
34.8000 0.0510
35.8000 0.0515
35.9000 0.0520
36.5000 0.0526
38.3000 0.0531
38.6000 0.0536
38.9000 0.0541
39.0000 0.0546
39.1000 0.0551
39.7000 0.0556
41.1000 0.0561
42.4000 0.0566
42.5000 0.0571
43.2000 0.0576
43.3000 0.0581
45.4000 0.0586
45.5000 0.0591
46.0000 0.0596
46.1000 0.0601
46.6000 0.0606
47.1000 0.0611
48.3000 0.0616
48.9000 0.0622
49.2000 0.0627
50.0000 0.0632
50.6000 0.0637
50.7000 0.0642
50.8000 0.0647
51.4000 0.0652
52.3000 0.0657
52.7000 0.0662
52.8000 0.0667
53.7000 0.0672
54.8000 0.0677
55.4000 0.0682
57.5000 0.0687
58.6000 0.0692
59.3000 0.0697
59.4000 0.0702
59.5000 0.0707
59.5000 0.0712
60.5000 0.0718
61.7000 0.0723
61.8000 0.0728
62.9000 0.0733
63.7000 0.0738
64.0000 0.0743
66.8000 0.0748
67.3000 0.0753
67.5000 0.0758
67.9000 0.0763
68.0000 0.0768
68.7000 0.0773
69.3000 0.0778
70.0000 0.0783
70.9000 0.0788
71.2000 0.0793
72.2000 0.0798
73.8000 0.0803
73.8000 0.0808
74.3000 0.0814
74.4000 0.0819
74.5000 0.0824
76.3000 0.0829
76.5000 0.0834
77.4000 0.0839
77.6000 0.0844
78.0000 0.0849
78.4000 0.0854
79.1000 0.0859
81.1000 0.0864
82.5000 0.0869
82.7000 0.0874
84.1000 0.0879
84.2000 0.0884
84.4000 0.0889
84.4000 0.0894
85.9000 0.0899
86.2000 0.0904
87.0000 0.0910
87.0000 0.0915
87.2000 0.0920
87.4000 0.0925
87.5000 0.0930
87.8000 0.0935
88.1000 0.0940
88.1000 0.0945
92.1000 0.0950
92.1000 0.0955
92.2000 0.0960
93.0000 0.0965
94.6000 0.0970
95.4000 0.0975
95.5000 0.0980
95.7000 0.0985
96.0000 0.0990
96.6000 0.0995
97.7000 0.1001
97.9000 0.1006
98.8000 0.1011
99.1000 0.1016
99.4000 0.1021
99.5000 0.1026
99.8000 0.1031
100.3000 0.1036
100.4000 0.1041
101.7000 0.1046
103.9000 0.1051
104.0000 0.1056
104.3000 0.1061
108.0000 0.1066
111.1000 0.1071
112.2000 0.1076
113.3000 0.1081
113.5000 0.1086
113.6000 0.1091
115.4000 0.1097
115.8000 0.1102
116.3000 0.1107
116.6000 0.1112
116.7000 0.1117
118.9000 0.1122
119.5000 0.1127
121.1000 0.1132
121.6000 0.1137
122.5000 0.1142
122.7000 0.1147
124.3000 0.1152
124.3000 0.1157
126.4000 0.1162
127.9000 0.1167
130.2000 0.1172
130.5000 0.1177
131.8000 0.1182
131.9000 0.1187
132.5000 0.1193
137.0000 0.1198
137.9000 0.1203
138.8000 0.1208
138.9000 0.1213
139.0000 0.1218
140.2000 0.1223
141.0000 0.1228
144.5000 0.1233
145.4000 0.1238
150.4000 0.1243
151.1000 0.1248
152.6000 0.1253
159.7000 0.1258
160.2000 0.1263
160.7000 0.1268
162.0000 0.1273
162.0000 0.1278
162.6000 0.1283
163.0000 0.1289
165.6000 0.1294
166.5000 0.1299
168.3000 0.1304
169.7000 0.1309
170.6000 0.1314
170.7000 0.1319
171.3000 0.1324
