# time  created  delivered  delivered/created
10.0000 1 0 0.0000
29.0000 2 0 0.0000
40.0000 3 0 0.0000
56.0000 4 0 0.0000
71.0000 5 0 0.0000
81.0000 6 0 0.0000
98.0000 7 0 0.0000
117.0000 8 0 0.0000
128.0000 9 0 0.0000
141.0000 10 0 0.0000
158.0000 11 0 0.0000
168.0000 12 0 0.0000
181.0000 13 0 0.0000
199.0000 14 0 0.0000
209.0000 15 0 0.0000
217.4000 15 1 0.0667
221.0000 16 1 0.0625
234.0000 17 1 0.0588
245.0000 18 1 0.0556
258.0000 19 1 0.0526
268.0000 20 1 0.0500
280.0000 21 1 0.0476
294.0000 22 1 0.0455
309.0000 23 1 0.0435
320.0000 24 1 0.0417
323.7000 24 2 0.0833
334.0000 25 2 0.0800
334.1000 25 3 0.1200
351.0000 26 3 0.1154
366.0000 27 3 0.1111
381.0000 28 3 0.1071
394.0000 29 3 0.1034
406.7000 29 4 0.1379
411.0000 30 4 0.1333
426.0000 31 4 0.1290
436.8000 31 5 0.1613
439.0000 32 5 0.1563
440.9000 32 6 0.1875
451.3000 32 7 0.2188
457.0000 33 7 0.2121
476.0000 34 7 0.2059
486.0000 35 7 0.2000
501.0000 36 7 0.1944
516.0000 37 7 0.1892
534.0000 38 7 0.1842
551.0000 39 7 0.1795
551.1000 39 8 0.2051
564.0000 40 8 0.2000
583.0000 41 8 0.1951
591.4000 41 9 0.2195
593.0000 42 9 0.2143
602.7000 42 10 0.2381
611.0000 43 10 0.2326
623.0000 44 10 0.2273
641.0000 45 10 0.2222
657.0000 46 10 0.2174
667.0000 47 10 0.2128
675.3000 47 11 0.2340
678.0000 48 11 0.2292
695.0000 49 11 0.2245
712.0000 50 11 0.2200
723.5000 50 12 0.2400
730.0000 51 12 0.2353
740.0000 52 12 0.2308
759.0000 53 12 0.2264
770.0000 54 12 0.2222
787.0000 55 12 0.2182
802.0000 56 12 0.2143
813.0000 57 12 0.2105
824.4000 57 13 0.2281
828.0000 58 13 0.2241
847.0000 59 13 0.2203
858.0000 60 13 0.2167
873.0000 61 13 0.2131
890.0000 62 13 0.2097
904.0000 63 13 0.2063
916.0000 64 13 0.2031
933.0000 65 13 0.2000
948.0000 66 13 0.1970
959.0000 67 13 0.1940
970.0000 68 13 0.1912
987.0000 69 13 0.1884
1001.0000 70 13 0.1857
1014.0000 71 13 0.1831
1019.0000 71 14 0.1972
1024.0000 72 14 0.1944
1035.0000 73 14 0.1918
1051.0000 74 14 0.1892
1061.0000 75 14 0.1867
1078.0000 76 14 0.1842
1078.9000 76 15 0.1974
1094.0000 77 15 0.1948
1112.0000 78 15 0.1923
1125.0000 79 15 0.1899
1135.0000 80 15 0.1875
1142.6000 80 16 0.2000
1145.6000 80 17 0.2125
1154.0000 81 17 0.2099
1170.0000 82 17 0.2073
1188.0000 83 17 0.2048
1203.0000 84 17 0.2024
1213.0000 85 17 0.2000
1230.0000 86 17 0.1977
1240.0000 87 17 0.1954
1259.0000 88 17 0.1932
1277.0000 89 17 0.1910
1287.0000 90 17 0.1889
1298.0000 91 17 0.1868
1301.1000 91 18 0.1978
1313.0000 92 18 0.1957
1323.0000 93 18 0.1935
1339.0000 94 18 0.1915
1352.0000 95 18 0.1895
1364.0000 96 18 0.1875
1383.0000 97 18 0.1856
1394.0000 98 18 0.1837
1399.5000 98 19 0.1939
1405.0000 99 19 0.1919
1421.0000 100 19 0.1900
1433.0000 101 19 0.1881
1436.5000 101 20 0.1980
1444.0000 102 20 0.1961
1463.0000 103 20 0.1942
1477.0000 104 20 0.1923
1487.0000 105 20 0.1905
1500.0000 106 20 0.1887
1501.6000 106 21 0.1981
1517.0000 107 21 0.1963
1528.0000 108 21 0.1944
1545.0000 109 21 0.1927
1555.0000 110 21 0.1909
1572.0000 111 21 0.1892
1584.0000 112 21 0.1875
1597.0000 113 21 0.1858
1610.0000 114 21 0.1842
1610.1000 114 22 0.1930
1620.9000 114 23 0.2018
1626.0000 115 23 0.2000
1645.0000 116 23 0.1983
1664.0000 117 23 0.1966
1664.7000 117 24 0.2051
1678.0000 118 24 0.2034
1695.0000 119 24 0.2017
1712.0000 120 24 0.2000
1729.0000 121 24 0.1983
1741.0000 122 24 0.1967
1753.0000 123 24 0.1951
1753.1000 123 25 0.2033
1766.0000 124 25 0.2016
1776.0000 125 25 0.2000
1788.6000 125 26 0.2080
1791.0000 126 26 0.2063
1810.0000 127 26 0.2047
1820.0000 128 26 0.2031
1835.0000 129 26 0.2016
1846.0000 130 26 0.2000
1846.1000 130 27 0.2077
1859.0000 131 27 0.2061
1876.0000 132 27 0.2045
1888.0000 133 27 0.2030
1906.0000 134 27 0.2015
1919.0000 135 27 0.2000
1929.0000 136 27 0.1985
1936.7000 136 28 0.2059
1941.0000 137 28 0.2044
1960.0000 138 28 0.2029
1977.0000 139 28 0.2014
1996.0000 140 28 0.2000
2008.0000 141 28 0.1986
2025.0000 142 28 0.1972
2041.0000 143 28 0.1958
2056.0000 144 28 0.1944
2074.0000 145 28 0.1931
