# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2580.2000 INFECTEDmsg48 29 1 1115.2000 p74 p61 n/a N p74->p61
3299.8000 INFECTEDmsg8 12 1 3054.8000 p57 p34 n/a N p57->p34
7834.6000 INFECTEDmsg218 15 1 1182.6000 p49 p30 n/a N p49->p30
10823.7000 INFECTEDmsg334 26 1 634.7000 p8 p46 n/a N p8->p46
11277.6000 INFECTEDmsg139 15 1 7036.6000 p38 p58 n/a N p38->p58
11729.5000 INFECTEDmsg322 18 1 1906.5000 p10 p49 n/a N p10->p49
12062.2000 INFECTEDmsg336 10 1 1813.2000 p81 p18 n/a N p81->p18
12782.3000 INFECTEDmsg315 19 1 3174.3000 p11 p33 n/a N p11->p33
13128.1000 INFECTEDmsg3 16 2 13037.1000 p18 p68 n/a N p18->p15->p68
13253.6000 INFECTEDmsg293 12 1 4317.6000 p15 p35 n/a N p15->p35
13398.8000 INFECTEDmsg422 11 1 523.8000 p86 p77 n/a N p86->p77
13574.3000 INFECTEDmsg402 23 1 1310.3000 p42 p31 n/a N p42->p31
13992.9000 INFECTEDmsg412 21 1 1423.9000 p66 p14 n/a N p66->p14
14676.5000 INFECTEDmsg379 14 3 3115.5000 p80 p56 n/a N p80->p75->p64->p56
17082.3000 INFECTEDmsg558 26 1 56.3000 p47 p48 n/a N p47->p48
17343.8000 INFECTEDmsg474 12 1 2887.8000 p39 p33 n/a N p39->p33
17569.6000 INFECTEDmsg561 26 1 451.6000 p52 p27 n/a N p52->p27
18410.2000 INFECTEDmsg354 10 1 7613.2000 p51 p35 n/a N p51->p35
18636.2000 INFECTEDmsg410 14 2 6128.2000 p89 p23 n/a N p89->p38->p23
18955.2000 INFECTEDmsg520 25 2 3094.2000 p1 p24 n/a N p1->p50->p24
19736.9000 INFECTEDmsg580 11 2 2036.9000 p80 p55 n/a N p80->p16->p55
20746.2000 INFECTEDmsg446 22 1 7139.2000 p21 p37 n/a N p21->p37
23130.0000 INFECTEDmsg715 12 2 1308.0000 p54 p67 n/a N p54->p78->p67
24295.1000 INFECTEDmsg750 20 1 1407.1000 p65 p51 n/a N p65->p51
24494.9000 INFECTEDmsg749 20 1 1637.9000 p55 p86 n/a N p55->p86
24690.7000 INFECTEDmsg718 19 1 2777.7000 p74 p24 n/a N p74->p24
25124.0000 INFECTEDmsg657 12 1 5072.0000 p18 p31 n/a N p18->p31
25804.6000 INFECTEDmsg645 21 2 6119.6000 p41 p9 n/a N p41->p44->p9
25933.5000 INFECTEDmsg849 10 1 21.5000 p30 p45 n/a N p30->p45
26436.9000 INFECTEDmsg784 11 1 2506.9000 p67 p74 n/a N p67->p74
26516.5000 INFECTEDmsg683 16 2 5672.5000 p47 p7 n/a N p47->p30->p7
31388.7000 INFECTEDmsg961 10 1 2058.7000 p62 p51 n/a N p62->p51
34754.3000 INFECTEDmsg997 13 1 4328.3000 p60 p88 n/a N p60->p88
34858.2000 INFECTEDmsg1039 10 2 3153.2000 p5 p89 n/a N p5->p42->p89
35140.7000 INFECTEDmsg1146 11 1 164.7000 p48 p44 n/a N p48->p44
35889.7000 INFECTEDmsg1149 24 2 822.7000 p84 p11 n/a N p84->p81->p11
36099.5000 INFECTEDmsg875 16 1 9395.5000 p23 p16 n/a N p23->p16
37891.4000 INFECTEDmsg1193 12 2 1484.4000 p44 p54 n/a N p44->p67->p54
38153.2000 INFECTEDmsg1239 17 1 339.2000 p36 p90 n/a N p36->p90
38441.8000 INFECTEDmsg1170 29 1 2734.8000 p40 p30 n/a N p40->p30
38576.9000 INFECTEDmsg1083 14 2 5528.9000 p41 p84 n/a N p41->p68->p84
38583.6000 INFECTEDmsg1202 14 1 1899.6000 p78 p79 n/a N p78->p79
39714.5000 INFECTEDmsg1113 17 2 5747.5000 p68 p65 n/a N p68->p56->p65
40600.5000 INFECTEDmsg1328 17 1 65.5000 p11 p3 n/a N p11->p3
41027.1000 INFECTEDmsg1344 18 1 0.1000 p24 p77 n/a N p24->p77
42561.7000 INFECTEDmsg1310 24 2 2576.7000 p47 p19 n/a N p47->p49->p19
43337.2000 INFECTEDmsg1407 25 1 392.2000 p90 p42 n/a N p90->p42
44451.2000 INFECTEDmsg1380 24 2 2329.2000 p9 p85 n/a N p9->p26->p85
45257.0000 INFECTEDmsg1479 17 1 114.0000 p10 p12 n/a N p10->p12
46473.5000 INFECTEDmsg1399 11 2 3771.5000 p31 p40 n/a N p31->p39->p40
46486.5000 INFECTEDmsg1356 15 2 5093.5000 p87 p8 n/a N p87->p10->p8
47179.0000 INFECTEDmsg1500 15 2 1398.0000 p67 p13 n/a N p67->p79->p13
47979.4000 INFECTEDmsg1536 19 1 1101.4000 p42 p18 n/a N p42->p18
48116.7000 INFECTEDmsg1354 26 1 6785.7000 p63 p15 n/a N p63->p15
48189.7000 INFECTEDmsg1504 14 1 2285.7000 p13 p1 n/a N p13->p1
48851.3000 INFECTEDmsg1561 24 1 1209.3000 p64 p46 n/a N p64->p46
49107.7000 INFECTEDmsg1518 16 1 2777.7000 p85 p72 n/a N p85->p72
49372.2000 INFECTEDmsg1414 12 2 6211.2000 p76 p20 n/a N p76->p10->p20
49994.8000 INFECTEDmsg1581 10 1 1743.8000 p71 p65 n/a N p71->p65
50785.3000 INFECTEDmsg1653 19 1 337.3000 p87 p13 n/a N p87->p13
52117.4000 INFECTEDmsg1691 27 1 510.4000 p38 p53 n/a N p38->p53
53591.9000 INFECTEDmsg1528 17 2 6959.9000 p29 p60 n/a N p29->p55->p60
53705.8000 INFECTEDmsg1631 18 1 3927.8000 p35 p8 n/a N p35->p8
54343.3000 INFECTEDmsg1687 21 2 2859.3000 p3 p7 n/a N p3->p20->p7
54389.1000 INFECTEDmsg1679 19 1 3149.1000 p83 p23 n/a N p83->p23
