# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2584.4000 INFECTEDmsg48 530919 1 1119.4000 p74 p61 n/a N p74->p61
3306.3000 INFECTEDmsg8 814862 1 3061.3000 p57 p34 n/a N p57->p34
3482.9000 INFECTEDmsg55 622193 1 1805.9000 p0 p84 n/a N p0->p84
4120.4000 INFECTEDmsg73 598985 1 1895.4000 p23 p32 n/a N p23->p32
5559.3000 INFECTEDmsg11 608238 1 5223.3000 p85 p33 n/a N p85->p33
5634.0000 INFECTEDmsg106 954986 1 2398.0000 p58 p30 n/a N p58->p30
5650.8000 INFECTEDmsg52 956346 1 4064.8000 p72 p63 n/a N p72->p63
6927.6000 INFECTEDmsg51 691006 1 5372.6000 p32 p25 n/a N p32->p25
6982.9000 INFECTEDmsg63 876740 1 5061.9000 p4 p38 n/a N p4->p38
7010.6000 INFECTEDmsg58 992402 1 5242.6000 p31 p45 n/a N p31->p45
7105.7000 INFECTEDmsg117 504013 1 3534.7000 p51 p25 n/a N p51->p25
7185.8000 INFECTEDmsg111 710201 1 3798.8000 p53 p6 n/a N p53->p6
7839.7000 INFECTEDmsg218 640685 1 1187.7000 p49 p30 n/a N p49->p30
8513.6000 INFECTEDmsg9 651646 1 8237.6000 p20 p90 n/a N p20->p90
8642.1000 INFECTEDmsg192 969880 1 2784.1000 p24 p76 n/a N p24->p76
9163.8000 INFECTEDmsg74 915630 1 6908.8000 p38 p27 n/a N p38->p27
9359.1000 INFECTEDmsg154 819852 2 4660.1000 p72 p83 n/a N p72->p40->p83
9728.2000 INFECTEDmsg179 548341 2 4266.2000 p51 p20 n/a N p51->p66->p20
9985.8000 INFECTEDmsg71 809108 2 7821.8000 p51 p49 n/a N p51->p72->p49
9988.5000 INFECTEDmsg134 941394 1 5899.5000 p33 p71 n/a N p33->p71
10225.3000 INFECTEDmsg12 887936 2 9859.3000 p46 p67 n/a N p46->p72->p67
10395.7000 INFECTEDmsg76 588139 2 8079.7000 p22 p84 n/a N p22->p48->p84
10830.9000 INFECTEDmsg334 908636 1 641.9000 p8 p46 n/a N p8->p46
10917.4000 INFECTEDmsg215 996512 1 4356.4000 p69 p47 n/a N p69->p47
11096.4000 INFECTEDmsg104 914144 1 7920.4000 p73 p18 n/a N p73->p18
11285.2000 INFECTEDmsg139 956505 1 7044.2000 p38 p58 n/a N p38->p58
11351.8000 INFECTEDmsg282 702085 1 2751.8000 p26 p69 n/a N p26->p69
11654.9000 INFECTEDmsg367 876331 1 460.9000 p80 p75 n/a N p80->p75
11736.8000 INFECTEDmsg322 924648 1 1913.8000 p10 p49 n/a N p10->p49
12068.0000 INFECTEDmsg336 725240 1 1819.0000 p81 p18 n/a N p81->p18
12098.0000 INFECTEDmsg213 566112 2 5598.0000 p3 p61 n/a N p3->p57->p61
12158.8000 INFECTEDmsg278 593784 1 3679.8000 p12 p50 n/a N p12->p50
12787.0000 INFECTEDmsg315 591509 1 3179.0000 p11 p33 n/a N p11->p33
12956.3000 INFECTEDmsg47 849305 1 11522.3000 p35 p89 n/a N p35->p89
13133.6000 INFECTEDmsg230 762845 1 6113.6000 p72 p24 n/a N p72->p24
13135.8000 INFECTEDmsg3 967706 2 13044.8000 p18 p68 n/a N p18->p15->p68
13260.1000 INFECTEDmsg293 814282 1 4324.1000 p15 p35 n/a N p15->p35
13404.1000 INFECTEDmsg422 674421 1 529.1000 p86 p77 n/a N p86->p77
13580.0000 INFECTEDmsg402 716833 1 1316.0000 p42 p31 n/a N p42->p31
13609.3000 INFECTEDmsg375 566203 1 2172.3000 p64 p2 n/a N p64->p2
13933.1000 INFECTEDmsg276 883585 1 5514.1000 p53 p59 n/a N p53->p59
