# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
221.0000 A8 2000000 1 104.0000 Street_10 Street_4 298 N Street_10->Street_4
241.1000 A4 2000000 2 185.1000 Street_4 Street_3 296 N Street_4->Street_6->Street_3
276.9000 A13 2000000 2 95.9000 Street_1 Street_9 298 N Street_1->Street_4->Street_9
325.6000 A24 2000000 1 5.6000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
336.0000 A25 2000000 1 2.0000 Avenue_16 Street_4 299 N Avenue_16->Street_4
402.6000 A1 2000000 1 392.6000 Avenue_11 Avenue_15 293 N Avenue_11->Avenue_15
437.5000 A17 2000000 1 203.5000 Street_3 Street_2 296 N Street_3->Street_2
438.7000 A12 2000000 1 270.7000 Avenue_19 Avenue_13 295 N Avenue_19->Avenue_13
442.8000 A5 2000000 2 371.8000 Avenue_13 Street_5 293 N Avenue_13->Street_7->Street_5
453.2000 A26 2000000 1 102.2000 Street_8 Street_7 298 N Street_8->Street_7
476.0000 A6 2000000 2 395.0000 Street_1 Street_5 293 N Street_1->Street_10->Street_5
482.6000 A9 2000000 2 354.6000 Avenue_16 Street_1 294 N Avenue_16->Street_4->Street_1
551.4000 A22 2000000 1 257.4000 Street_4 Street_2 295 N Street_4->Street_2
553.4000 A39 2000000 1 2.4000 Street_3 Street_4 299 N Street_3->Street_4
593.3000 A34 2000000 1 117.3000 Street_1 Street_7 298 N Street_1->Street_7
604.6000 A36 2000000 2 103.6000 Avenue_12 Street_1 298 N Avenue_12->Street_6->Street_1
613.6000 A33 2000000 2 156.6000 Street_5 Avenue_12 297 N Street_5->Street_9->Avenue_12
626.6000 A15 2000000 2 417.6000 Avenue_17 Avenue_12 293 N Avenue_17->Avenue_13->Avenue_12
644.3000 A29 2000000 3 250.3000 Avenue_12 Street_10 295 N Avenue_12->Street_6->Street_1->Street_10
677.2000 A35 2000000 1 191.2000 Avenue_14 Avenue_19 296 N Avenue_14->Avenue_19
743.8000 A16 2000000 1 522.8000 Avenue_12 Avenue_11 291 N Avenue_12->Avenue_11
826.3000 A56 2000000 1 24.3000 Avenue_12 Avenue_13 299 N Avenue_12->Avenue_13
867.7000 A52 2000000 1 127.7000 Street_1 Street_8 297 N Street_1->Street_8
924.2000 A54 2000000 1 154.2000 Street_1 Street_9 297 N Street_1->Street_9
981.3000 A45 2000000 3 340.3000 Street_10 Street_6 294 N Street_10->Street_9->Street_3->Street_6
1026.0000 A43 2000000 2 415.0000 Street_2 Street_3 293 N Street_2->Street_5->Street_3
1035.3000 A67 2000000 3 76.3000 Street_3 Street_1 298 N Street_3->Street_7->Street_8->Street_1
1080.8000 A55 2000000 2 293.8000 Street_8 Street_10 295 N Street_8->Street_1->Street_10
1116.1000 A70 2000000 2 115.1000 Street_4 Street_5 298 N Street_4->Street_7->Street_5
1136.0000 A49 2000000 2 441.0000 Street_4 Street_2 292 N Street_4->Street_8->Street_2
1138.0000 A59 2000000 1 291.0000 Street_2 Street_8 295 N Street_2->Street_8
1144.5000 A79 2000000 1 19.5000 Avenue_14 Avenue_17 299 N Avenue_14->Avenue_17
1147.5000 A57 2000000 3 334.5000 Avenue_19 Street_7 294 N Avenue_19->Avenue_16->Street_2->Street_7
1161.2000 A27 2000000 3 795.2000 Avenue_15 Street_4 286 N Avenue_15->Avenue_20->Avenue_16->Street_4
1163.2000 A18 2000000 2 918.2000 Avenue_18 Street_4 284 N Avenue_18->Avenue_16->Street_4
1198.6000 A81 2000000 1 44.6000 Street_1 Street_5 299 N Street_1->Street_5
1233.3000 A21 2000000 3 953.3000 Street_8 Avenue_20 284 N Street_8->Street_4->Avenue_16->Avenue_20
1244.0000 A73 2000000 2 209.0000 Street_3 Street_5 296 N Street_3->Street_10->Street_5
1273.1000 A87 2000000 1 33.1000 Street_6 Street_8 299 N Street_6->Street_8
1277.7000 A31 2000000 2 851.7000 Street_9 Avenue_20 285 N Street_9->Street_4->Avenue_20
1289.2000 A32 2000000 3 850.2000 Street_10 Avenue_13 285 N Street_10->Street_6->Avenue_11->Avenue_13
1291.3000 A47 2000000 3 624.3000 Avenue_15 Street_8 289 N Avenue_15->Street_6->Street_1->Street_8
1401.4000 A94 2000000 1 62.4000 Street_3 Street_9 298 N Street_3->Street_9
1404.9000 A77 2000000 2 310.9000 Street_9 Avenue_14 294 N Street_9->Avenue_20->Avenue_14
1406.9000 A28 2000000 2 1025.9000 Street_4 Avenue_14 282 N Street_4->Avenue_20->Avenue_14
1408.9000 A30 2000000 2 997.9000 Street_1 Avenue_14 283 N Street_1->Avenue_20->Avenue_14
1412.5000 A44 2000000 1 789.5000 Street_5 Avenue_19 286 N Street_5->Avenue_19
1422.3000 A10 2000000 2 1281.3000 Avenue_14 Street_5 278 N Avenue_14->Avenue_20->Street_5
1438.4000 A93 2000000 3 115.4000 Avenue_16 Street_1 298 N Avenue_16->Street_6->Street_8->Street_1
1446.9000 A69 2000000 2 459.9000 Street_6 Avenue_19 292 N Street_6->Avenue_20->Avenue_19
1464.0000 A37 2000000 3 948.0000 Avenue_17 Street_2 284 N Avenue_17->Street_1->Street_6->Street_2
1467.6000 A85 2000000 3 254.6000 Avenue_16 Street_3 295 N Avenue_16->Street_1->Street_4->Street_3
1502.0000 A46 2000000 2 845.0000 Avenue_19 Street_10 285 N Avenue_19->Street_2->Street_10
1503.5000 A106 2000000 1 3.5000 Street_3 Avenue_14 299 N Street_3->Avenue_14
1511.5000 A72 2000000 3 487.5000 Avenue_12 Street_2 291 N Avenue_12->Avenue_17->Street_4->Street_2
1531.4000 A65 2000000 3 598.4000 Street_10 Avenue_11 290 N Street_10->Street_6->Avenue_16->Avenue_11
1549.3000 A14 2000000 1 1350.3000 Street_1 Avenue_13 277 N Street_1->Avenue_13
1607.9000 A76 2000000 1 529.9000 Avenue_13 Street_10 291 N Avenue_13->Street_10
1622.8000 A107 2000000 2 105.8000 Street_4 Street_5 298 N Street_4->Street_2->Street_5
1625.9000 A19 2000000 1 1367.9000 Street_10 Avenue_18 277 N Street_10->Avenue_18
1627.7000 A99 2000000 3 222.7000 Avenue_20 Street_2 296 N Avenue_20->Street_5->Street_7->Street_2
1627.9000 A50 2000000 1 915.9000 Street_10 Avenue_18 284 N Street_10->Avenue_18
1629.9000 A41 2000000 1 1046.9000 Avenue_18 Street_10 282 N Avenue_18->Street_10
1631.9000 A60 2000000 1 773.9000 Avenue_13 Avenue_18 287 N Avenue_13->Avenue_18
1664.9000 A71 2000000 2 650.9000 Avenue_13 Street_3 289 N Avenue_13->Street_10->Street_3
1666.6000 A101 2000000 1 233.6000 Avenue_16 Avenue_12 296 N Avenue_16->Avenue_12
1675.6000 A113 2000000 1 78.6000 Street_4 Street_10 298 N Street_4->Street_10
1687.4000 A66 2000000 2 739.4000 Avenue_16 Avenue_17 287 N Avenue_16->Avenue_19->Avenue_17
1714.6000 A114 2000000 1 104.6000 Street_7 Street_5 298 N Street_7->Street_5
1725.7000 A75 2000000 3 664.7000 Avenue_18 Avenue_11 288 N Avenue_18->Avenue_17->Avenue_16->Avenue_11
1755.2000 A23 2000000 2 1446.2000 Avenue_13 Street_9 275 N Avenue_13->Street_4->Street_9
1756.0000 A100 2000000 2 335.0000 Avenue_13 Avenue_16 294 N Avenue_13->Avenue_18->Avenue_16
1756.2000 A123 2000000 1 3.2000 Avenue_12 Avenue_14 299 N Avenue_12->Avenue_14
1757.2000 A68 2000000 2 787.2000 Avenue_13 Street_9 286 N Avenue_13->Street_4->Street_9
1758.0000 A3 2000000 2 1718.0000 Street_6 Avenue_18 271 N Street_6->Avenue_16->Avenue_18
1790.5000 A115 2000000 3 164.5000 Avenue_18 Street_1 297 N Avenue_18->Avenue_13->Street_4->Street_1
