# messageDelay  cumulativeProbability
2.0000 0.0012
2.0000 0.0024
2.0000 0.0035
2.0000 0.0047
2.0000 0.0059
2.0000 0.0071
2.2000 0.0082
2.3000 0.0094
2.4000 0.0106
2.8000 0.0118
3.0000 0.0129
3.2000 0.0141
3.5000 0.0153
3.7000 0.0165
5.6000 0.0176
6.1000 0.0188
6.2000 0.0200
7.1000 0.0212
7.6000 0.0223
8.6000 0.0235
9.3000 0.0247
9.9000 0.0259
10.0000 0.0270
12.8000 0.0282
13.4000 0.0294
14.6000 0.0306
15.2000 0.0317
15.2000 0.0329
17.9000 0.0341
19.2000 0.0353
19.5000 0.0364
19.9000 0.0376
20.2000 0.0388
21.7000 0.0400
22.1000 0.0411
23.5000 0.0423
23.8000 0.0435
24.3000 0.0447
24.7000 0.0458
25.1000 0.0470
25.9000 0.0482
27.8000 0.0494
28.6000 0.0505
29.1000 0.0517
29.2000 0.0529
32.6000 0.0541
32.8000 0.0552
32.8000 0.0564
33.1000 0.0576
35.8000 0.0588
36.4000 0.0599
37.7000 0.0611
38.2000 0.0623
39.6000 0.0635
40.2000 0.0646
40.4000 0.0658
40.9000 0.0670
42.5000 0.0682
43.4000 0.0693
43.7000 0.0705
44.6000 0.0717
45.1000 0.0729
45.2000 0.0740
47.3000 0.0752
47.5000 0.0764
48.5000 0.0776
49.0000 0.0787
51.1000 0.0799
52.5000 0.0811
52.7000 0.0823
52.9000 0.0834
54.4000 0.0846
58.4000 0.0858
61.4000 0.0870
62.4000 0.0881
63.6000 0.0893
63.7000 0.0905
64.8000 0.0917
68.7000 0.0928
69.8000 0.0940
69.9000 0.0952
71.2000 0.0964
72.8000 0.0975
76.3000 0.0987
77.9000 0.0999
78.1000 0.1011
78.4000 0.1022
78.6000 0.1034
81.2000 0.1046
81.9000 0.1058
82.2000 0.1069
84.0000 0.1081
84.6000 0.1093
86.0000 0.1105
86.4000 0.1116
88.9000 0.1128
90.0000 0.1140
90.5000 0.1152
91.0000 0.1163
91.6000 0.1175
94.0000 0.1187
94.1000 0.1199
94.9000 0.1210
95.6000 0.1222
95.9000 0.1234
96.8000 0.1246
97.4000 0.1257
