# time  created  delivered  delivered/created
10.0000 1 0 0.0000
29.0000 2 0 0.0000
40.0000 3 0 0.0000
56.0000 4 0 0.0000
71.0000 5 0 0.0000
81.0000 6 0 0.0000
98.0000 7 0 0.0000
117.0000 8 0 0.0000
128.0000 9 0 0.0000
141.0000 10 0 0.0000
158.0000 11 0 0.0000
168.0000 12 0 0.0000
181.0000 13 0 0.0000
199.0000 14 0 0.0000
209.0000 15 0 0.0000
221.0000 15 1 0.0667
221.0000 16 1 0.0625
234.0000 17 1 0.0588
241.1000 17 2 0.1176
245.0000 18 2 0.1111
258.0000 19 2 0.1053
268.0000 20 2 0.1000
276.9000 20 3 0.1500
280.0000 21 3 0.1429
294.0000 22 3 0.1364
309.0000 23 3 0.1304
320.0000 24 3 0.1250
325.6000 24 4 0.1667
334.0000 25 4 0.1600
336.0000 25 5 0.2000
351.0000 26 5 0.1923
366.0000 27 5 0.1852
381.0000 28 5 0.1786
394.0000 29 5 0.1724
402.6000 29 6 0.2069
411.0000 30 6 0.2000
426.0000 31 6 0.1935
437.5000 31 7 0.2258
438.7000 31 8 0.2581
439.0000 32 8 0.2500
442.8000 32 9 0.2813
453.2000 32 10 0.3125
457.0000 33 10 0.3030
476.0000 34 10 0.2941
476.0000 34 11 0.3235
482.6000 34 12 0.3529
486.0000 35 12 0.3429
501.0000 36 12 0.3333
516.0000 37 12 0.3243
534.0000 38 12 0.3158
551.0000 39 12 0.3077
551.4000 39 13 0.3333
553.4000 39 14 0.3590
564.0000 40 14 0.3500
583.0000 41 14 0.3415
593.0000 42 14 0.3333
593.3000 42 15 0.3571
604.6000 42 16 0.3810
611.0000 43 16 0.3721
613.6000 43 17 0.3953
623.0000 44 17 0.3864
626.6000 44 18 0.4091
641.0000 45 18 0.4000
644.3000 45 19 0.4222
657.0000 46 19 0.4130
667.0000 47 19 0.4043
677.2000 47 20 0.4255
678.0000 48 20 0.4167
695.0000 49 20 0.4082
712.0000 50 20 0.4000
730.0000 51 20 0.3922
740.0000 52 20 0.3846
743.8000 52 21 0.4038
759.0000 53 21 0.3962
770.0000 54 21 0.3889
787.0000 55 21 0.3818
802.0000 56 21 0.3750
813.0000 57 21 0.3684
826.3000 57 22 0.3860
828.0000 58 22 0.3793
847.0000 59 22 0.3729
858.0000 60 22 0.3667
867.7000 60 23 0.3833
873.0000 61 23 0.3770
890.0000 62 23 0.3710
904.0000 63 23 0.3651
916.0000 64 23 0.3594
924.2000 64 24 0.3750
933.0000 65 24 0.3692
948.0000 66 24 0.3636
959.0000 67 24 0.3582
970.0000 68 24 0.3529
981.3000 68 25 0.3676
987.0000 69 25 0.3623
1001.0000 70 25 0.3571
1014.0000 71 25 0.3521
1024.0000 72 25 0.3472
1026.0000 72 26 0.3611
1035.0000 73 26 0.3562
1035.3000 73 27 0.3699
1051.0000 74 27 0.3649
1061.0000 75 27 0.3600
1078.0000 76 27 0.3553
1080.8000 76 28 0.3684
1094.0000 77 28 0.3636
1112.0000 78 28 0.3590
1116.1000 78 29 0.3718
1125.0000 79 29 0.3671
1135.0000 80 29 0.3625
1136.0000 80 30 0.3750
1138.0000 80 31 0.3875
1144.5000 80 32 0.4000
1147.5000 80 33 0.4125
1154.0000 81 33 0.4074
1161.2000 81 34 0.4198
1163.2000 81 35 0.4321
1170.0000 82 35 0.4268
1188.0000 83 35 0.4217
1198.6000 83 36 0.4337
1203.0000 84 36 0.4286
1213.0000 85 36 0.4235
1230.0000 86 36 0.4186
1233.3000 86 37 0.4302
1240.0000 87 37 0.4253
1244.0000 87 38 0.4368
1259.0000 88 38 0.4318
1273.1000 88 39 0.4432
1277.0000 89 39 0.4382
1277.7000 89 40 0.4494
1287.0000 90 40 0.4444
1289.2000 90 41 0.4556
1291.3000 90 42 0.4667
1298.0000 91 42 0.4615
1313.0000 92 42 0.4565
1323.0000 93 42 0.4516
1339.0000 94 42 0.4468
1352.0000 95 42 0.4421
1364.0000 96 42 0.4375
1383.0000 97 42 0.4330
1394.0000 98 42 0.4286
1401.4000 98 43 0.4388
1404.9000 98 44 0.4490
1405.0000 99 44 0.4444
1406.9000 99 45 0.4545
1408.9000 99 46 0.4646
1412.5000 99 47 0.4747
1421.0000 100 47 0.4700
1422.3000 100 48 0.4800
1433.0000 101 48 0.4752
1438.4000 101 49 0.4851
1444.0000 102 49 0.4804
1446.9000 102 50 0.4902
1463.0000 103 50 0.4854
1464.0000 103 51 0.4951
1467.6000 103 52 0.5049
1477.0000 104 52 0.5000
1487.0000 105 52 0.4952
1500.0000 106 52 0.4906
1502.0000 106 53 0.5000
1503.5000 106 54 0.5094
1511.5000 106 55 0.5189
1517.0000 107 55 0.5140
1528.0000 108 55 0.5093
1531.4000 108 56 0.5185
1545.0000 109 56 0.5138
1549.3000 109 57 0.5229
1555.0000 110 57 0.5182
1572.0000 111 57 0.5135
1584.0000 112 57 0.5089
1597.0000 113 57 0.5044
1607.9000 113 58 0.5133
1610.0000 114 58 0.5088
1622.8000 114 59 0.5175
1625.9000 114 60 0.5263
